,Title,rating,count
201,Body Parts (1991),1.6153846153846154,13
64,Amityville II: The Possession (1982),1.6428571428571428,14
107,B*A*P*S (1997),1.6666666666666667,3
1223,Relative Fear (1994),1.6666666666666667,3
1332,"Simple Wish, A (1997)",1.6666666666666667,3
1382,Squeeze (1996),1.6666666666666667,3
1458,Temptress Moon (Feng Yue) (1996),1.6666666666666667,3
833,Land Before Time III: The Time of the Great Giving (1995) (V),1.6666666666666667,6
191,Bloodsport 2 (1995),1.7,10
849,Lawnmower Man 2: Beyond Cyberspace (1996),1.7142857142857142,21
1250,Robocop 3 (1993),1.7272727272727273,11
560,Free Willy 3: The Rescue (1997),1.7407407407407407,27
149,Being Human (1993),1.75,4
1047,"Neon Bible, The (1995)",1.75,4
375,Dangerous Ground (1997),1.75,8
1452,Talking About Sex (1994),1.8,5
1539,Turbo: A Power Rangers Movie (1997),1.8,5
805,Kazaam (1996),1.8,10
617,Gone Fishin' (1997),1.8181818181818181,11
117,Bad Girls (1994),1.8333333333333333,6
1353,Solo (1996),1.8333333333333333,12
1573,Vampire in Brooklyn (1995),1.8333333333333333,12
1212,Ready to Wear (Pret-A-Porter) (1994),1.8333333333333333,18
854,Leave It to Beaver (1997),1.8409090909090908,44
405,"Designated Mourner, The (1997)",1.8571428571428572,7
444,Dunston Checks In (1996),1.8571428571428572,7
168,Big Bully (1996),1.8571428571428572,14
46,All Dogs Go to Heaven 2 (1996),1.8666666666666667,15
1140,"Pest, The (1997)",1.875,8
691,Home Alone 3 (1997),1.894736842105263,19
176,Bio-Dome (1996),1.903225806451613,31
1007,Mr. Magoo (1997),1.9166666666666667,12
124,Barb Wire (1996),1.9333333333333333,30
775,Jaws 3-D (1983),1.9375,16
356,"Crow: City of Angels, The (1996)",1.9487179487179487,39
1000,Mortal Kombat: Annihilation (1997),1.9534883720930232,43
1328,Showgirls (1995),1.9565217391304348,23
74,Angel on My Shoulder (1946),2.0,1
239,"Brother's Kiss, A (1997)",2.0,1
322,Coldblooded (1995),2.0,1
467,Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0,1
509,"Favor, The (1994)",2.0,1
680,Here Comes Cookie (1935),2.0,1
718,Hush (1998),2.0,1
911,MURDER and murder (1996),2.0,1
1046,Nemesis 2: Nebula (1995),2.0,1
1056,"Niagara, Niagara (1997)",2.0,1
1080,Nothing Personal (1995),2.0,1
1211,Raw Deal (1948),2.0,1
1242,Ripe (1996),2.0,1
1325,Shopping (1994),2.0,1
1345,Small Faces (1995),2.0,1
1599,"War at Home, The (1996)",2.0,1
56,American Strays (1996),2.0,2
323,"Collectionneuse, La (1967)",2.0,2
329,Condition Red (1995),2.0,2
383,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0,2
549,Foreign Student (1994),2.0,2
607,"Glass Shield, The (1994)",2.0,2
750,"Innocent Sleep, The (1995)",2.0,2
812,Kika (1993),2.0,2
965,Men of Means (1998),2.0,2
1033,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),2.0,2
1193,Pushing Hands (1992),2.0,2
1275,Salut cousin! (1996),2.0,2
1506,"To Have, or Not (1995)",2.0,2
1578,Vermin (1998),2.0,2
256,Calendar Girl (1993),2.0,3
489,Fall (1997),2.0,3
541,For Ever Mozart (1996),2.0,3
716,"Hunted, The (1995)",2.0,3
905,Lover's Knot (1996),2.0,3
1380,Sprung (1997),2.0,3
1538,"Truth or Consequences, N.M. (1997)",2.0,3
205,"Bonheur, Le (1965)",2.0,4
787,"Journey of August King, The (1995)",2.0,4
1067,Nil By Mouth (1997),2.0,4
1153,Pie in the Sky (1995),2.0,4
469,Even Cowgirls Get the Blues (1993),2.0,5
777,Jefferson in Paris (1995),2.0,5
882,"Locusts, The (1997)",2.0,5
1290,"Second Jungle Book: Mowgli & Baloo, The (1997)",2.0,6
704,House Party 3 (1994),2.0,9
742,In the Realm of the Senses (Ai no corrida) (1976),2.0,9
1622,White Man's Burden (1995),2.0,10
799,Jury Duty (1995),2.0,14
1421,"Stupids, The (1996)",2.0,17
676,Hellraiser: Bloodline (1996),2.0,18
632,Grease 2 (1982),2.0,24
1451,Tales from the Hood (1995),2.037037037037037,27
531,"Flintstones, The (1994)",2.064516129032258,31
1431,Super Mario Bros. (1993),2.076923076923077,26
934,Man of the House (1995),2.111111111111111,9
1383,Stag (1997),2.111111111111111,9
782,Jingle All the Way (1996),2.111111111111111,18
1377,Spice World (1997),2.1153846153846154,26
686,Highlander III: The Sorcerer (1994),2.125,16
1420,Stuart Saves His Family (1995),2.125,16
1374,Speed 2: Cruise Control (1997),2.1315789473684212,38
765,Jack and Sarah (1995),2.142857142857143,7
962,Meet Wally Sparks (1997),2.142857142857143,7
1107,Original Gangstas (1996),2.142857142857143,7
673,Heavyweights (1994),2.1538461538461537,13
916,Mad Love (1995),2.1538461538461537,13
1161,Poison Ivy II (1995),2.1538461538461537,13
1404,Steel (1997),2.1578947368421053,19
757,"Island of Dr. Moreau, The (1996)",2.1578947368421053,57
189,Blood Beach (1981),2.1666666666666665,6
646,Guilty as Sin (1993),2.1666666666666665,6
1545,Twin Town (1997),2.1666666666666665,6
1661,Zeus and Roxanne (1997),2.1666666666666665,6
102,Audrey Rose (1977),2.1666666666666665,12
1049,"NeverEnding Story III, The (1994)",2.1666666666666665,12
210,Booty Call (1997),2.1666666666666665,48
22,"Addiction, The (1995)",2.1818181818181817,11
486,Fair Game (1995),2.1818181818181817,11
559,Free Willy 2: The Adventure Home (1995),2.1818181818181817,11
958,McHale's Navy (1997),2.1884057971014492,69
292,Chasers (1994),2.2,5
1236,Rhyme & Reason (1997),2.2,5
1548,Two Bits (1995),2.2,5
213,Boxing Helena (1993),2.2,15
284,Celtic Pride (1996),2.2,15
650,Halloween: The Curse of Michael Myers (1995),2.2,25
346,"Cowboy Way, The (1994)",2.210526315789474,19
330,Coneheads (1993),2.2195121951219514,41
116,Bad Company (1995),2.2222222222222223,9
289,Chairman of the Board (1998),2.2222222222222223,9
429,Double Team (1997),2.230769230769231,13
1143,Phantoms (1998),2.230769230769231,13
1419,Striptease (1996),2.2388059701492535,67
806,Keys to Tulsa (1997),2.24,25
783,Joe's Apartment (1996),2.2444444444444445,45
174,"Big Squeeze, The (1996)",2.25,4
243,Buddy (1997),2.25,4
1435,Suture (1993),2.25,4
1549,Two Deaths (1995),2.25,4
1595,"Walking Dead, The (1995)",2.25,4
236,Broken English (1996),2.25,8
1038,Nadja (1994),2.25,8
1115,"Pagemaster, The (1994)",2.25,12
151,"Believers, The (1987)",2.25,16
159,"Beverly Hillbillies, The (1993)",2.25,20
1370,"Specialist, The (1994)",2.25,20
803,Kansas City (1996),2.260869565217391,23
678,Herbie Rides Again (1974),2.272727272727273,11
977,Mighty Morphin Power Rangers: The Movie (1995),2.272727272727273,11
735,In the Army Now (1994),2.2777777777777777,18
434,Dracula: Dead and Loving It (1995),2.28,25
837,Lassie (1994),2.2857142857142856,7
844,"Last Time I Committed Suicide, The (1997)",2.2857142857142856,7
863,Life with Mikey (1993),2.2857142857142856,7
69,Anaconda (1997),2.289473684210526,38
769,Jade (1995),2.2941176470588234,17
1245,"Road to Wellville, The (1994)",2.2941176470588234,17
1010,Mr. Wrong (1996),2.3043478260869565,23
340,Cops and Robbersons (1994),2.3076923076923075,13
161,Beverly Hills Ninja (1997),2.3125,48
139,"Beautician and the Beast, The (1997)",2.313953488372093,86
1116,"Pallbearer, The (1996)",2.3181818181818183,22
112,"Babysitter, The (1995)",2.3333333333333335,3
263,Captives (1994),2.3333333333333335,3
722,I Like It Like That (1994),2.3333333333333335,3
731,Ill Gotten Gains (1997),2.3333333333333335,3
842,Last Summer in the Hamptons (1995),2.3333333333333335,3
1079,Nosferatu a Venezia (1986),2.3333333333333335,3
1084,Nowhere (1997),2.3333333333333335,3
1126,"Paris, France (1993)",2.3333333333333335,3
1400,"Stars Fell on Henrietta, The (1995)",2.3333333333333335,3
688,Hollow Reed (1996),2.3333333333333335,6
968,Metisse (Café au Lait) (1993),2.3333333333333335,6
0,'Til There Was You (1997),2.3333333333333335,9
835,Larger Than Life (1996),2.3333333333333335,9
593,"Getaway, The (1994)",2.3333333333333335,18
255,"Cable Guy, The (1996)",2.339622641509434,106
34,Airheads (1994),2.34375,32
105,"Awfully Big Adventure, An (1995)",2.375,8
160,Beverly Hills Cop III (1994),2.392857142857143,28
1392,Star Trek V: The Final Frontier (1989),2.3968253968253967,63
1581,"Very Brady Sequel, A (1996)",2.3978494623655915,93
190,Blood For Dracula (Andy Warhol's Dracula) (1974),2.4,5
418,Dingo (1992),2.4,5
514,Feast of July (1995),2.4,5
671,Heavy (1995),2.4,5
879,Loaded (1994),2.4,5
1072,No Escape (1994),2.4,5
1119,Panther (1995),2.4,5
1280,"Scarlet Letter, The (1995)",2.4,5
1237,"Rich Man's Wife, The (1996)",2.4,15
1576,Vegas Vacation (1997),2.4,75
1344,Sliver (1993),2.4054054054054053,37
1252,Rocket Man (1997),2.4081632653061225,49
257,Canadian Bacon (1994),2.413793103448276,29
1406,Stephen King's The Langoliers (1995),2.413793103448276,29
1475,"Thin Line Between Love and Hate, A (1996)",2.4166666666666665,12
886,Lord of Illusions (1995),2.4166666666666665,24
1042,National Lampoon's Senior Trip (1995),2.4285714285714284,7
1194,"Pyromaniac's Love Story, A (1995)",2.4285714285714284,7
1298,Senseless (1998),2.4285714285714284,7
1411,Stranger in the House (1997),2.4285714285714284,7
1439,Swept from the Sea (1997),2.4285714285714284,7
1492,"Tie That Binds, The (1995)",2.4285714285714284,7
1530,Trial by Jury (1994),2.4285714285714284,7
1551,Two Much (1996),2.4285714285714284,7
398,Deep Rising (1998),2.4285714285714284,14
537,Fluke (1995),2.4285714285714284,14
543,For Richer or Poorer (1997),2.4285714285714284,14
260,Candyman: Farewell to the Flesh (1995),2.4285714285714284,21
574,"Funeral, The (1996)",2.4285714285714284,21
1239,Richie Rich (1994),2.4285714285714284,21
794,Jungle2Jungle (1997),2.4393939393939394,132
247,Burnt Offerings (1976),2.4444444444444446,9
681,Hideaway (1995),2.4444444444444446,9
1054,"Next Karate Kid, The (1994)",2.4444444444444446,9
365,Cutthroat Island (1995),2.4444444444444446,18
1640,Wishmaster (1997),2.4444444444444446,27
850,"Lawnmower Man, The (1992)",2.4461538461538463,65
1478,Thinner (1996),2.4489795918367347,49
532,Flipper (1996),2.45,20
131,Batman & Robin (1997),2.4516129032258065,62
331,Congo (1995),2.4523809523809526,42
1434,Surviving the Game (1994),2.4545454545454546,11
558,Free Willy (1993),2.4545454545454546,33
1560,Under Siege 2: Dark Territory (1995),2.4583333333333335,48
464,Escape from L.A. (1996),2.4615384615384617,91
1465,That Darn Cat! (1997),2.4634146341463414,41
920,Madonna: Truth or Dare (1991),2.4705882352941178,17
923,Major Payne (1994),2.473684210526316,19
1464,That Darn Cat! (1965),2.473684210526316,19
1004,Mouse Hunt (1997),2.477272727272727,44
1362,Son in Law (1993),2.4871794871794872,39
54,American Dream (1990),2.5,2
335,"Convent, The (Convento, O) (1995)",2.5,2
900,Love and Death on Long Island (1997),2.5,2
1006,Mr. Jones (1993),2.5,2
1052,New York Cop (1996),2.5,2
1105,Open Season (1996),2.5,2
1114,"Outlaw, The (1943)",2.5,2
1262,Rough Magic (1995),2.5,2
1378,Spirits of the Dead (Tre passi nel delirio) (1968),2.5,2
1541,"Turning, The (1992)",2.5,2
68,An Unforgettable Summer (1994),2.5,4
557,Frankie Starlight (1995),2.5,4
813,Killer (Bulletproof Heart) (1994),2.5,4
852,"Lay of the Land, The (1997)",2.5,4
881,Loch Ness (1995),2.5,4
1544,Twilight (1998),2.5,4
1563,Underworld (1997),2.5,4
39,Albino Alligator (1996),2.5,6
308,City of Industry (1997),2.5,6
1430,Sunset Park (1996),2.5,8
110,"Baby-Sitters Club, The (1995)",2.5,10
458,"Endless Summer 2, The (1994)",2.5,10
723,I Love Trouble (1994),2.5,10
906,"Low Down Dirty Shame, A (1994)",2.5,10
1324,Shooting Fish (1997),2.5,10
1566,Unhook the Stars (1996),2.5,10
392,Dear God (1996),2.5,12
1628,Wild Bill (1995),2.5,12
169,"Big Green, The (1995)",2.5,14
1591,Waiting to Exhale (1995),2.5,16
649,Half Baked (1998),2.5,20
943,Marked for Death (1990),2.5,22
83,Another Stakeout (1993),2.5,28
994,Money Train (1995),2.511627906976744,43
1381,Spy Hard (1996),2.511627906976744,43
1106,Operation Dumbo Drop (1995),2.5161290322580645,31
669,Heaven's Prisoners (1996),2.5185185185185186,27
918,Made in America (1993),2.5185185185185186,27
1197,"Quest, The (1996)",2.5185185185185186,27
703,House Arrest (1996),2.52,25
1529,Trial and Error (1997),2.5217391304347827,23
1159,Pocahontas (1995),2.5294117647058822,51
989,Mixed Nuts (1994),2.533333333333333,15
477,Excess Baggage (1997),2.5384615384615383,52
204,Bogus (1996),2.5454545454545454,22
306,City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454,44
348,Crash (1996),2.546875,128
439,Drop Zone (1994),2.5483870967741935,31
668,Heaven & Earth (1993),2.5555555555555554,9
31,Air Bud (1997),2.558139534883721,43
254,Cabin Boy (1994),2.5625,16
1540,Turbulence (1997),2.5652173913043477,23
63,"Amityville Horror, The (1979)",2.5660377358490565,53
1306,Sgt. Bilko (1996),2.5675675675675675,74
186,Bliss (1997),2.5714285714285716,7
807,Kicked in the Head (1997),2.5714285714285716,7
998,Moonlight and Valentino (1995),2.5714285714285716,7
1402,"Steal Big, Steal Little (1995)",2.5714285714285716,7
125,Barbarella (1968),2.5714285714285716,28
471,Event Horizon (1997),2.574803149606299,127
1142,"Phantom, The (1996)",2.575,80
369,D3: The Mighty Ducks (1996),2.5789473684210527,19
506,Fathers' Day (1997),2.5806451612903225,31
1417,Striking Distance (1993),2.5833333333333335,12
1248,Robin Hood: Men in Tights (1993),2.5892857142857144,56
1,1-900 (1994),2.6,5
647,Gumby: The Movie (1995),2.6,5
1091,"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",2.6,5
1291,"Secret Adventures of Tom Thumb, The (1993)",2.6,5
1341,Sliding Doors (1998),2.6,5
725,I'll Do Anything (1994),2.6,10
872,Little Odessa (1994),2.6,10
970,Miami Rhapsody (1995),2.6,15
1552,Two if by Sea (1996),2.6,25
648,Hackers (1995),2.606060606060606,33
1369,Spawn (1997),2.6153846153846154,143
1607,Weekend at Bernie's (1989),2.6166666666666667,60
683,High School High (1996),2.6206896551724137,29
516,Female Perversions (1996),2.625,8
1612,What Happened Was... (1994),2.625,8
515,Feeling Minnesota (1996),2.625,32
1158,Playing God (1997),2.627906976744186,43
503,Fatal Instinct (1993),2.6315789473684212,19
785,Johnny Mnemonic (1995),2.6341463414634148,41
53,American Buffalo (1996),2.6363636363636362,11
183,Black Sheep (1996),2.6363636363636362,55
1450,Tales from the Crypt Presents: Bordello of Blood (1996),2.6363636363636362,55
827,Kull the Conqueror (1997),2.63768115942029,69
78,Angus (1995),2.642857142857143,14
1136,"Perez Family, The (1995)",2.642857142857143,14
529,Fled (1996),2.6470588235294117,34
1287,Screamers (1995),2.652173913043478,46
136,Bean (1997),2.659340659340659,91
841,Last Man Standing (1996),2.660377358490566,53
326,Commandments (1997),2.6666666666666665,3
451,Ed's Next Move (1996),2.6666666666666665,3
545,For the Moment (1994),2.6666666666666665,3
568,Frisk (1995),2.6666666666666665,3
719,I Can't Sleep (J'ai pas sommeil) (1994),2.6666666666666665,3
760,It Takes Two (1995),2.6666666666666665,3
779,"Jerky Boys, The (1994)",2.6666666666666665,3
1288,"Search for One-eye Jimmy, The (1996)",2.6666666666666665,3
1323,"Shooter, The (1995)",2.6666666666666665,3
1650,"Wooden Man's Bride, The (Wu Kui) (1994)",2.6666666666666665,3
118,Bad Moon (1996),2.6666666666666665,6
155,Bent (1997),2.6666666666666665,6
748,Infinity (1996),2.6666666666666665,6
1463,Tetsuo II: Body Hammer (1992),2.6666666666666665,6
1574,"Van, The (1996)",2.6666666666666665,6
195,Blue Chips (1994),2.6666666666666665,9
717,Hurricane Streets (1998),2.6666666666666665,9
1283,"Scout, The (1994)",2.6666666666666665,12
91,April Fool's Day (1986),2.6666666666666665,15
774,Jaws 2 (1978),2.6666666666666665,66
133,Batman Forever (1995),2.6666666666666665,114
18,Ace Ventura: When Nature Calls (1995),2.675675675675676,37
1459,Terminal Velocity (1994),2.676470588235294,34
791,Judgment Night (1993),2.68,25
1166,"Portrait of a Lady, The (1996)",2.68,25
1585,Village of the Damned (1995),2.6818181818181817,22
134,Batman Returns (1992),2.683098591549296,142
67,Amos & Andrew (1993),2.6842105263157894,19
1112,Out to Sea (1997),2.6842105263157894,19
587,George of the Jungle (1997),2.685185185185185,162
581,Gang Related (1997),2.6875,16
38,Alaska (1996),2.6923076923076925,13
675,Heidi Fleiss: Hollywood Madam (1995) ,2.6923076923076925,13
1424,"Substitute, The (1996)",2.693877551020408,49
1187,"Prophecy II, The (1998)",2.7,20
452,Eddie (1996),2.7,40
656,Hard Target (1993),2.7,40
659,Harriet the Spy (1996),2.7,40
288,Chain Reaction (1996),2.7,80
1645,Wolf (1994),2.701492537313433,67
431,Down Periscope (1996),2.702970297029703,101
426,"Doom Generation, The (1995)",2.7142857142857144,7
697,"Horse Whisperer, The (1998)",2.7142857142857144,7
1076,North (1994),2.7142857142857144,7
385,Days of Thunder (1990),2.7169811320754715,53
187,"Blob, The (1958)",2.717391304347826,46
1141,Pete's Dragon (1977),2.7209302325581395,43
391,Dead Presidents (1995),2.7222222222222223,18
875,"Little Rascals, The (1994)",2.7222222222222223,18
259,Candyman (1992),2.723076923076923,65
1425,Sudden Death (1995),2.723404255319149,47
1631,Wild Things (1998),2.727272727272727,11
809,"Kid in King Arthur's Court, A (1995)",2.727272727272727,22
979,Milk Money (1994),2.72972972972973,37
325,Color of Night (1994),2.7333333333333334,15
1318,She's So Lovely (1997),2.7358490566037736,53
1586,Virtuosity (1995),2.736842105263158,38
539,"Fog, The (1980)",2.739130434782609,23
982,Mimic (1997),2.742574257425743,101
838,Last Action Hero (1993),2.7457627118644066,59
19,Across the Sea of Time (1995),2.75,4
120,"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75,4
268,Caro Diario (Dear Diary) (1994),2.75,4
299,"Ciao, Professore! (1993)",2.75,4
311,Clean Slate (Coup de Torchon) (1981),2.75,4
546,"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75,4
657,Harlem (1993),2.75,4
738,In the Line of Duty 2 (1987),2.75,4
831,Ladybird Ladybird (1994),2.75,4
1518,Total Eclipse (1995),2.75,4
1562,"Underneath, The (1995)",2.75,4
363,Curdled (1996),2.75,8
1218,Reckless (1995),2.75,8
1414,Street Fighter (1994),2.75,8
479,Exit to Eden (1994),2.75,16
438,Drop Dead Fred (1991),2.75,24
609,"Glimmer Man, The (1996)",2.75,48
536,Flubber (1997),2.7547169811320753,53
638,"Great White Hype, The (1996)",2.7551020408163267,49
193,Blown Away (1994),2.7586206896551726,29
730,If Lucy Fell (1996),2.7586206896551726,29
604,Girl 6 (1996),2.76,25
708,How to Be a Player (1997),2.761904761904762,21
1019,Muppet Treasure Island (1996),2.761904761904762,84
700,Hot Shots! Part Deux (1993),2.764705882352941,68
1360,Something to Talk About (1995),2.769230769230769,26
424,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.7714285714285714,35
384,Daylight (1996),2.7719298245614037,57
1094,Oliver & Company (1988),2.772727272727273,22
1659,Young Guns II (1990),2.772727272727273,44
1366,Space Jam (1996),2.774193548387097,93
1160,Poetic Justice (1993),2.7777777777777777,9
1519,Touch (1997),2.7777777777777777,9
896,"Love Bug, The (1969)",2.78,50
693,Homeward Bound II: Lost in San Francisco (1996),2.78125,32
1040,Naked Gun 33 1/3: The Final Insult (1994),2.782608695652174,69
143,Beavis and Butt-head Do America (1996),2.7884615384615383,156
269,Carpool (1996),2.8,5
440,Drunks (1995),2.8,5
974,Midnight Dancers (Sibak) (1994),2.8,5
1202,Race the Sun (1996),2.8,5
1259,Roseanna's Grave (For Roseanna) (1997),2.8,5
1561,Underground (1995),2.8,5
52,"Amazing Panda Adventure, The (1995)",2.8,10
310,Clean Slate (1994),2.8,10
1621,"White Balloon, The (1995)",2.8,10
320,Cobb (1994),2.8,15
955,Maximum Risk (1996),2.8,20
1611,Wes Craven's New Nightmare (1994),2.8,35
221,"Brady Bunch Movie, The (1995)",2.8026315789473686,76
1603,Waterworld (1995),2.803921568627451,102
1588,Volcano (1997),2.808219178082192,219
33,"Air Up There, The (1994)",2.8125,16
208,Boomerang (1992),2.8125,32
1299,Serial Mom (1994),2.814814814814815,54
993,Money Talks (1997),2.8152173913043477,92
20,Addams Family Values (1993),2.8160919540229883,87
798,"Juror, The (1996)",2.817073170731707,82
746,"Indian in the Cupboard, The (1995)",2.8205128205128207,39
948,Mary Reilly (1996),2.8205128205128207,39
198,Blues Brothers 2000 (1998),2.8214285714285716,28
1443,Switchback (1997),2.823529411764706,17
1568,Until the End of the World (Bis ans Ende der Welt) (1991),2.8260869565217392,23
396,Deceiver (1997),2.8275862068965516,29
42,Alien 3 (1992),2.83,100
530,Flesh and Bone (1993),2.8333333333333335,6
1068,Nina Takes a Lover (1994),2.8333333333333335,6
542,For Love or Money (1993),2.8333333333333335,12
895,Love Affair (1994),2.8333333333333335,12
1320,Shiloh (1997),2.8333333333333335,12
523,Firestorm (1998),2.8333333333333335,18
707,Houseguest (1994),2.8333333333333335,24
1018,Multiplicity (1996),2.8358208955223883,134
1184,"Program, The (1993)",2.838709677419355,31
1490,Threesome (1994),2.838709677419355,31
90,"Apple Dumpling Gang, The (1975)",2.84,25
279,Cats Don't Dance (1997),2.84375,32
1525,"Transformers: The Movie, The (1986)",2.84375,32
37,Aladdin and the King of Thieves (1996),2.8461538461538463,26
147,Before and After (1996),2.8461538461538463,26
945,Mars Attacks! (1996),2.847926267281106,217
822,Kiss of Death (1995),2.85,20
1454,Tank Girl (1995),2.8536585365853657,41
901,Love and Other Catastrophes (1996),2.857142857142857,7
1436,"Swan Princess, The (1994)",2.857142857142857,7
188,Blood & Wine (1997),2.8636363636363638,22
1307,Shadow Conspiracy (1997),2.8636363636363638,44
1371,Species (1995),2.8666666666666667,45
286,Cemetery Man (Dellamorte Dellamore) (1994),2.869565217391304,23
99,Assassins (1995),2.871794871794872,39
165,Bhaji on the Beach (1993),2.875,8
781,Jimmy Hollywood (1994),2.875,8
130,Bastard Out of Carolina (1996),2.875,16
868,Little Big League (1994),2.875,16
1128,Party Girl (1995),2.875,16
999,Mortal Kombat (1995),2.877551020408163,49
1017,Mulholland Falls (1996),2.8780487804878048,82
1224,"Relic, The (1997)",2.88,25
1346,"Smile Like Yours, A (1997)",2.88,25
740,In the Mouth of Madness (1995),2.8846153846153846,26
412,Diabolique (1996),2.887323943661972,71
1627,Wild America (1997),2.888888888888889,9
1309,"Shadow, The (1994)",2.888888888888889,45
1509,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.8947368421052633,57
277,Cat People (1982),2.8958333333333335,48
790,Judge Dredd (1995),2.8974358974358974,39
505,Father of the Bride Part II (1995),2.8984375,128
624,"Goofy Movie, A (1995)",2.9,20
588,Georgia (1995),2.9,30
655,Hard Rain (1998),2.903225806451613,31
1243,Rising Sun (1993),2.9069767441860463,43
2,101 Dalmatians (1996),2.908256880733945,109
381,"Davy Crockett, King of the Wild Frontier (1955)",2.909090909090909,11
1535,"Truman Show, The (1998)",2.909090909090909,11
1514,Tommy Boy (1995),2.909090909090909,66
1085,"Nutty Professor, The (1996)",2.914110429447853,163
969,Metro (1997),2.9166666666666665,36
808,Kicking and Screaming (1995),2.923076923076923,13
